ITEM_NUMBER,ITEM_DESCRIPTION,ORGANIZATION_CODE,PRIMARY_UOM_CODE,SECONDARY_UOM_CODE,ITEM_CLASS_NAME,ITEM_TYPE,ITEM_STATUS,UNIT_COST,GLOBAL_ATTRIBUTE1
ITM-882101,"BALL VALVE SIZE 2"" RATING CL150 RAISED FACE BODY ASTM A216 WCB",M1_POWER_STATION,Each,,VALVE_CLASS,Purchased Item,Active,1245.0,
ITM-882102,"BALL VALVE SIZE 3"" RATING CL150 RAISED FACE BODY ASTM A216 WCB",V1_REFINERY,Each,,VALVE_CLASS,Purchased Item,Active,2490.0,
ITM-882103,"BALL VALVE SIZE 4"" RATING CL300 RAISED FACE BODY ASTM A216 WCB",M1_POWER_STATION,Each,,VALVE_CLASS,Purchased Item,Active,3735.0,
ITM-882104,"GATE VALVE SIZE 2"" RATING CL150 RAISED FACE BODY API 600 WCB",V1_REFINERY,Each,,VALVE_CLASS,Purchased Item,Active,4980.0,
ITM-882105,"GATE VALVE SIZE 4"" RATING CL150 RAISED FACE BODY API 600 WCB",M1_POWER_STATION,Each,,VALVE_CLASS,Purchased Item,Active,6225.0,
ITM-882106,"GATE VALVE SIZE 6"" RATING CL300 RAISED FACE BODY API 600 WCB",V1_REFINERY,Each,,VALVE_CLASS,Purchased Item,Active,7470.0,
ITM-882107,"GLOBE VALVE SIZE 2"" RATING CL150 RAISED FACE BODY ASTM A216 WCB",M1_POWER_STATION,Each,,VALVE_CLASS,Purchased Item,Active,8715.0,
ITM-882108,"GLOBE VALVE SIZE 3"" RATING CL300 RAISED FACE BODY ASTM A216 WCB",V1_REFINERY,Each,,VALVE_CLASS,Purchased Item,Active,9960.0,
ITM-882109,"CHECK VALVE SIZE 4"" RATING CL150 RAISED FACE BODY BS 1868 WCB",M1_POWER_STATION,Each,,VALVE_CLASS,Purchased Item,Active,11205.0,
ITM-882110,"BUTTERFLY VALVE SIZE 6"" RATING PN16 RAISED FACE BODY DI BODY EPDM LINED",V1_REFINERY,Each,,VALVE_CLASS,Purchased Item,Active,12450.0,
ITM-882111,"SEAMLESS STEEL PIPE NOMINAL SIZE 2"" WALL SCH 40 SPECIFICATION ASTM A106 GR B",M1_POWER_STATION,Meter,,PIPE_CLASS,Purchased Item,Active,13695.0,
ITM-882112,"SEAMLESS STEEL PIPE NOMINAL SIZE 3"" WALL SCH 40 SPECIFICATION ASTM A106 GR B",V1_REFINERY,Meter,,PIPE_CLASS,Purchased Item,Active,14940.0,
ITM-882113,"SEAMLESS STEEL PIPE NOMINAL SIZE 4"" WALL SCH 40 SPECIFICATION ASTM A106 GR B",M1_POWER_STATION,Meter,,PIPE_CLASS,Purchased Item,Active,16185.0,
ITM-882114,"SEAMLESS STEEL PIPE NOMINAL SIZE 6"" WALL SCH 40 SPECIFICATION ASTM A106 GR B",V1_REFINERY,Meter,,PIPE_CLASS,Purchased Item,Active,17430.0,
ITM-882115,"SEAMLESS STEEL PIPE NOMINAL SIZE 8"" WALL SCH 80 SPECIFICATION ASTM A106 GR B",M1_POWER_STATION,Meter,,PIPE_CLASS,Purchased Item,Active,18675.0,
ITM-882116,"STAINLESS STEEL PIPE NOMINAL SIZE 2"" WALL SCH 40S SPECIFICATION ASTM A312 TP304L",V1_REFINERY,Meter,,PIPE_CLASS,Purchased Item,Active,19920.0,
ITM-882117,"STAINLESS STEEL PIPE NOMINAL SIZE 4"" WALL SCH 40S SPECIFICATION ASTM A312 TP304L",M1_POWER_STATION,Meter,,PIPE_CLASS,Purchased Item,Active,21165.0,
ITM-882118,"STAINLESS STEEL PIPE NOMINAL SIZE 2"" WALL SCH 40S SPECIFICATION ASTM A312 TP316L",V1_REFINERY,Meter,,PIPE_CLASS,Purchased Item,Active,22410.0,
ITM-882119,ERW STEEL PIPE NOMINAL SIZE 100MM WALL HEAVY SPECIFICATION IS 1239 PART 1,M1_POWER_STATION,Meter,,PIPE_CLASS,Purchased Item,Active,23655.0,
ITM-882120,ERW STEEL PIPE NOMINAL SIZE 150MM WALL HEAVY SPECIFICATION IS 3589 FE 410,V1_REFINERY,Meter,,PIPE_CLASS,Purchased Item,Active,24900.0,
ITM-882121,"WNRF FLANGE 2"" RATING CL150 MATERIAL ASTM A105 SCH 40",M1_POWER_STATION,Each,,FLANGE_CLASS,Purchased Item,Active,26145.0,
