canonical_id,split
CAN-036,train
CAN-016,train
CAN-028,train
CAN-021,train
CAN-027,train
CAN-005,train
CAN-002,train
CAN-024,train
CAN-008,train
CAN-034,train
CAN-038,train
CAN-037,train
CAN-001,train
CAN-018,train
CAN-004,train
CAN-033,train
CAN-003,train
CAN-026,train
CAN-023,train
CAN-010,train
CAN-039,train
CAN-013,train
CAN-020,train
CAN-017,train
CAN-035,train
CAN-040,test
CAN-015,test
CAN-031,test
CAN-032,test
CAN-025,test
CAN-022,test
CAN-009,test
CAN-012,test
CAN-007,test
CAN-011,test
CAN-030,test
CAN-029,test
CAN-006,test
CAN-014,test
CAN-019,test
