event_id,timestamp,pair_id,event_type,actor,reason
EVT-0001,2026-09-18T19:36:56.227434,PR-0001,PROPOSED,AI_SYSTEM,System generated match
EVT-0002,2026-09-18T20:06:56.227445,PR-0001,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0003,2026-09-18T19:36:56.232792,PR-0002,PROPOSED,AI_SYSTEM,System generated match
EVT-0004,2026-09-18T20:06:56.232799,PR-0002,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0005,2026-09-18T19:36:56.240329,PR-0003,PROPOSED,AI_SYSTEM,System generated match
EVT-0006,2026-09-18T20:06:56.240340,PR-0003,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0007,2026-09-18T19:36:56.245782,PR-0004,PROPOSED,AI_SYSTEM,System generated match
EVT-0008,2026-09-18T20:06:56.245788,PR-0004,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0009,2026-09-18T19:36:56.251022,PR-0005,PROPOSED,AI_SYSTEM,System generated match
EVT-0010,2026-09-18T20:06:56.251028,PR-0005,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0011,2026-09-18T19:36:56.257819,PR-0006,PROPOSED,AI_SYSTEM,System generated match
EVT-0012,2026-09-18T20:06:56.257829,PR-0006,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0013,2026-09-18T19:36:56.263291,PR-0007,PROPOSED,AI_SYSTEM,System generated match
EVT-0014,2026-09-18T20:06:56.263297,PR-0007,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0015,2026-09-18T19:36:56.269017,PR-0008,PROPOSED,AI_SYSTEM,System generated match
EVT-0016,2026-09-18T20:06:56.269026,PR-0008,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0017,2026-09-18T19:36:56.275612,PR-0009,PROPOSED,AI_SYSTEM,System generated match
EVT-0018,2026-09-18T20:06:56.275619,PR-0009,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0019,2026-09-18T19:36:56.281036,PR-0010,PROPOSED,AI_SYSTEM,System generated match
EVT-0020,2026-09-18T20:06:56.281042,PR-0010,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0021,2026-09-18T19:36:56.288984,PR-0011,PROPOSED,AI_SYSTEM,System generated match
EVT-0022,2026-09-18T19:36:56.294500,PR-0012,PROPOSED,AI_SYSTEM,System generated match
EVT-0023,2026-09-18T19:36:56.300302,PR-0013,PROPOSED,AI_SYSTEM,System generated match
EVT-0024,2026-09-18T20:06:56.300308,PR-0013,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0025,2026-09-18T19:36:56.307791,PR-0014,PROPOSED,AI_SYSTEM,System generated match
EVT-0026,2026-09-18T20:06:56.307799,PR-0014,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0027,2026-09-18T19:36:56.313119,PR-0015,PROPOSED,AI_SYSTEM,System generated match
EVT-0028,2026-09-18T19:36:56.319050,PR-0016,PROPOSED,AI_SYSTEM,System generated match
EVT-0029,2026-09-18T20:06:56.319060,PR-0016,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0030,2026-09-18T20:36:56.319073,PR-0016,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0031,2026-09-18T19:36:56.325462,PR-0017,PROPOSED,AI_SYSTEM,System generated match
EVT-0032,2026-09-18T20:06:56.325469,PR-0017,REVIEW,MASTER_DATA_STEWARD,Manual review required
EVT-0033,2026-09-18T20:36:56.325478,PR-0017,APPROVED,MASTER_DATA_STEWARD,Approved relationship
EVT-0034,2026-09-18T19:36:56.331274,PR-0018,PROPOSED,AI_SYSTEM,System generated match
