cpse_id,material_id,plant,storage_location,stock_type,stock_qty,stock_uom
CPSE_04,MAT-0001,PL-35,SL-1003,Unrestricted,172,EA
CPSE_02,MAT-0002,PL-57,SL-1000,Unrestricted,23,EA
CPSE_03,MAT-0003,PL-67,SL-1004,Unrestricted,237,EA
CPSE_05,MAT-0004,PL-83,SL-1002,Unrestricted,358,NOS
CPSE_04,MAT-0005,PL-75,SL-1003,Unrestricted,437,EA
CPSE_03,MAT-0006,PL-54,SL-1001,Unrestricted,234,EA
CPSE_01,MAT-0007,PL-71,SL-1005,Unrestricted,237,NOS
CPSE_04,MAT-0008,PL-28,SL-1000,Unrestricted,190,PCS
CPSE_03,MAT-0009,PL-64,SL-1004,Unrestricted,161,EA
CPSE_03,MAT-0010,PL-18,SL-1000,Unrestricted,424,NOS
CPSE_05,MAT-0011,PL-80,SL-1003,Unrestricted,472,EA
CPSE_02,MAT-0012,PL-22,SL-1003,Unrestricted,243,NOS
CPSE_03,MAT-0013,PL-56,SL-1005,Unrestricted,69,EA
CPSE_04,MAT-0014,PL-14,SL-1005,Unrestricted,445,NOS
CPSE_05,MAT-0015,PL-53,SL-1000,Unrestricted,178,NOS
CPSE_03,MAT-0016,PL-36,SL-1003,Unrestricted,218,EA
CPSE_04,MAT-0017,PL-12,SL-1001,Unrestricted,139,NOS
CPSE_02,MAT-0018,PL-31,SL-1003,Unrestricted,441,PCS
CPSE_02,MAT-0019,PL-65,SL-1002,Unrestricted,278,PCS
CPSE_03,MAT-0020,PL-38,SL-1004,Unrestricted,423,NOS
CPSE_01,MAT-0021,PL-40,SL-1001,Unrestricted,313,PCS
CPSE_05,MAT-0022,PL-13,SL-1002,Unrestricted,457,EA
CPSE_04,MAT-0023,PL-46,SL-1004,Unrestricted,420,EA
CPSE_03,MAT-0024,PL-81,SL-1004,Unrestricted,242,EA
CPSE_01,MAT-0025,PL-69,SL-1002,Unrestricted,193,NOS
CPSE_04,MAT-0026,PL-93,SL-1005,Unrestricted,107,NOS
CPSE_05,MAT-0027,PL-14,SL-1003,Unrestricted,479,NOS
CPSE_01,MAT-0028,PL-98,SL-1001,Unrestricted,144,PCS
CPSE_05,MAT-0029,PL-93,SL-1002,Unrestricted,315,PCS
CPSE_04,MAT-0030,PL-90,SL-1000,Unrestricted,105,NOS
CPSE_05,MAT-0031,PL-70,SL-1004,Unrestricted,485,Meter
CPSE_01,MAT-0032,PL-93,SL-1003,Unrestricted,430,MTR
CPSE_04,MAT-0033,PL-62,SL-1004,Unrestricted,382,M
CPSE_05,MAT-0034,PL-87,SL-1000,Unrestricted,101,Meter
CPSE_02,MAT-0035,PL-97,SL-1001,Unrestricted,308,MTR
CPSE_03,MAT-0036,PL-98,SL-1003,Unrestricted,235,Meter
CPSE_05,MAT-0037,PL-49,SL-1005,Unrestricted,6,Meter
CPSE_03,MAT-0038,PL-44,SL-1001,Unrestricted,481,M
CPSE_01,MAT-0039,PL-63,SL-1001,Unrestricted,401,MTR
CPSE_04,MAT-0040,PL-39,SL-1003,Unrestricted,310,M
CPSE_05,MAT-0041,PL-13,SL-1003,Unrestricted,92,Meter
CPSE_01,MAT-0042,PL-47,SL-1000,Unrestricted,15,M
CPSE_03,MAT-0043,PL-93,SL-1000,Unrestricted,6,Meter
CPSE_05,MAT-0044,PL-31,SL-1003,Unrestricted,223,Meter
CPSE_02,MAT-0045,PL-80,SL-1002,Unrestricted,0,M
CPSE_02,MAT-0046,PL-87,SL-1002,Unrestricted,253,MTR
CPSE_05,MAT-0047,PL-70,SL-1005,Unrestricted,241,Meter
CPSE_01,MAT-0048,PL-76,SL-1004,Unrestricted,383,M
CPSE_05,MAT-0049,PL-94,SL-1000,Unrestricted,279,MTR
CPSE_01,MAT-0050,PL-89,SL-1003,Unrestricted,228,M
