material_id,class,characteristic_name,characteristic_value,characteristic_uom
MAT-0001,Valve,TYPE,Gate Valve,
MAT-0001,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0001,Valve,PRESSURE_CLASS,Class 150,
MAT-0001,Valve,NOMINAL_SIZE,DN100,
MAT-0001,Valve,END_CONNECTION,Flanged,
MAT-0001,Valve,STANDARD,ASME B16.34,
MAT-0002,Valve,TYPE,Gate Valve,
MAT-0002,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0002,Valve,PRESSURE_CLASS,Class 150,
MAT-0002,Valve,NOMINAL_SIZE,DN100,
MAT-0002,Valve,END_CONNECTION,Flanged,
MAT-0002,Valve,STANDARD,ASME B16.34,
MAT-0003,Valve,TYPE,Gate Valve,
MAT-0003,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0003,Valve,NOMINAL_SIZE,DN100,
MAT-0003,Valve,END_CONNECTION,Flanged,
MAT-0003,Valve,STANDARD,ASME B16.34,
MAT-0004,Valve,TYPE,Gate Valve,
MAT-0004,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0004,Valve,PRESSURE_CLASS,Class 300,
MAT-0004,Valve,NOMINAL_SIZE,DN100,
MAT-0004,Valve,END_CONNECTION,Flanged,
MAT-0004,Valve,STANDARD,ASME B16.34,
MAT-0005,Valve,TYPE,Gate Valve,
MAT-0005,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0005,Valve,PRESSURE_CLASS,Class 300,
MAT-0005,Valve,NOMINAL_SIZE,DN100,
MAT-0005,Valve,END_CONNECTION,Flanged,
MAT-0005,Valve,STANDARD,ASME B16.34,
MAT-0006,Valve,TYPE,Gate Valve,
MAT-0006,Valve,BODY_MATERIAL,Carbon Steel,
MAT-0006,Valve,PRESSURE_CLASS,Class 300,
MAT-0006,Valve,NOMINAL_SIZE,DN100,
MAT-0006,Valve,END_CONNECTION,Flanged,
MAT-0006,Valve,STANDARD,ASME B16.34,
MAT-0007,Valve,TYPE,Globe Valve,
MAT-0007,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0007,Valve,PRESSURE_CLASS,Class 150,
MAT-0007,Valve,NOMINAL_SIZE,DN50,
MAT-0007,Valve,END_CONNECTION,Flanged,
MAT-0007,Valve,STANDARD,ASME B16.34,
MAT-0008,Valve,TYPE,Globe Valve,
MAT-0008,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0008,Valve,PRESSURE_CLASS,Class 150,
MAT-0008,Valve,NOMINAL_SIZE,DN50,
MAT-0008,Valve,END_CONNECTION,Flanged,
MAT-0008,Valve,STANDARD,ASME B16.34,
MAT-0009,Valve,TYPE,Globe Valve,
MAT-0009,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0009,Valve,PRESSURE_CLASS,Class 150,
MAT-0009,Valve,NOMINAL_SIZE,DN50,
MAT-0009,Valve,END_CONNECTION,Flanged,
MAT-0009,Valve,STANDARD,ASME B16.34,
MAT-0010,Valve,TYPE,Globe Valve,
MAT-0010,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0010,Valve,PRESSURE_CLASS,Class 150,
MAT-0010,Valve,NOMINAL_SIZE,DN80,
MAT-0010,Valve,END_CONNECTION,Flanged,
MAT-0010,Valve,STANDARD,ASME B16.34,
MAT-0011,Valve,TYPE,Globe Valve,
MAT-0011,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0011,Valve,PRESSURE_CLASS,Class 150,
MAT-0011,Valve,NOMINAL_SIZE,DN80,
MAT-0011,Valve,END_CONNECTION,Flanged,
MAT-0011,Valve,STANDARD,ASME B16.34,
MAT-0012,Valve,TYPE,Globe Valve,
MAT-0012,Valve,BODY_MATERIAL,Stainless Steel,
MAT-0012,Valve,PRESSURE_CLASS,Class 150,
MAT-0012,Valve,NOMINAL_SIZE,DN80,
MAT-0012,Valve,END_CONNECTION,Flanged,
MAT-0012,Valve,STANDARD,ASME B16.34,
MAT-0013,Valve,TYPE,Ball Valve,
