material_id,cpse_id,canonical_id,material_code,description,material_type,material_group,base_uom,manufacturer,manufacturer_part_number,source_system,source_table
MAT-0001,CPSE_04,CAN-001,P-8593,Gate Valve DN100 Carbon Steel Class 150,ERSA,MG-VALVE,EA,Manufacturer_B,PN-985,SAP_S4HANA,MARA
MAT-0002,CPSE_02,CAN-001,MAT-7692,GV 100 MM CS CL150,ERSA,MG-VALVE,EA,Manufacturer_B,PN-659,SAP_ECC,MARA
MAT-0003,CPSE_03,CAN-001,GV-5980,"gate 4"" vlv c.s. cl 150",ERSA,MG-VALVE,EA,Manufacturer_B,PN-839,SAP_ECC,MARA
MAT-0004,CPSE_05,CAN-002,ITM-3824,Gate Valve DN100 Carbon Steel Class 300,ERSA,MG-VALVE,NOS,Manufacturer_B,PN-103,ERP_GENERIC,MARA
MAT-0005,CPSE_04,CAN-002,P-2503,GV 100 MM CS CL300,ERSA,MG-VALVE,EA,Manufacturer_A,PN-431,SAP_ECC,MARA
MAT-0006,CPSE_03,CAN-002,GV-1213,"gate 4"" vlv c.s. cl 300",ERSA,MG-VALVE,EA,Manufacturer_C,PN-908,SAP_ECC,MARA
MAT-0007,CPSE_01,CAN-003,VAL-6628,Globe Valve DN50 Stainless Steel Class 150,ERSA,MG-VALVE,NOS,Manufacturer_B,PN-577,SAP_S4HANA,MARA
MAT-0008,CPSE_04,CAN-003,P-7428,GLV 50 MM SS CL150,ERSA,MG-VALVE,PCS,Manufacturer_A,PN-462,ERP_GENERIC,MARA
MAT-0009,CPSE_03,CAN-003,GV-1617,"globe 2"" v/v s.s. cl 150",ERSA,MG-VALVE,EA,Manufacturer_B,PN-133,SAP_S4HANA,MARA
MAT-0010,CPSE_03,CAN-004,GV-7792,Globe Valve DN80 Stainless Steel Class 150,ERSA,MG-VALVE,NOS,Manufacturer_A,PN-432,SAP_S4HANA,MARA
MAT-0011,CPSE_05,CAN-004,ITM-1369,GLV DN80 SS CL150,ERSA,MG-VALVE,EA,Manufacturer_B,PN-198,ERP_GENERIC,MARA
MAT-0012,CPSE_02,CAN-004,MAT-6857,globe dn80 v/v s.s. cl 150,ERSA,MG-VALVE,NOS,Manufacturer_A,PN-948,SAP_S4HANA,MARA
MAT-0013,CPSE_03,CAN-005,GV-4023,Ball Valve DN25 Brass PN16,ERSA,MG-VALVE,EA,Manufacturer_B,PN-311,SAP_S4HANA,MARA
MAT-0014,CPSE_04,CAN-005,P-8052,BALL VALVE DN25 BRASS PN16,ERSA,MG-VALVE,NOS,Manufacturer_B,PN-241,ERP_GENERIC,MARA
MAT-0015,CPSE_05,CAN-005,ITM-5012,ball dn25 valve brass pn16,ERSA,MG-VALVE,NOS,Manufacturer_C,PN-783,ERP_GENERIC,MARA
MAT-0016,CPSE_03,CAN-006,GV-8210,Butterfly Valve DN150 Cast Iron PN10,ERSA,MG-VALVE,EA,Manufacturer_A,PN-533,SAP_S4HANA,MARA
MAT-0017,CPSE_04,CAN-006,P-7596,BUTTERFLY VALVE DN150 CAST IRON PN10,ERSA,MG-VALVE,NOS,Manufacturer_C,PN-409,SAP_ECC,MARA
MAT-0018,CPSE_02,CAN-006,MAT-5995,butterfly dn150 valve cast iron pn10,ERSA,MG-VALVE,PCS,Manufacturer_B,PN-239,SAP_S4HANA,MARA
MAT-0019,CPSE_02,CAN-007,MAT-3679,Check Valve DN100 Carbon Steel Class 600,ERSA,MG-VALVE,PCS,Manufacturer_B,PN-884,ERP_GENERIC,MARA
MAT-0020,CPSE_03,CAN-007,GV-6910,CHECK VALVE 100 MM CS CLASS 600,ERSA,MG-VALVE,NOS,Manufacturer_B,PN-119,SAP_ECC,MARA
MAT-0021,CPSE_01,CAN-007,VAL-7666,"check 4"" valve c.s. class 600",ERSA,MG-VALVE,PCS,Manufacturer_A,PN-177,SAP_S4HANA,MARA
MAT-0022,CPSE_05,CAN-008,ITM-1237,Ball Valve DN50 Stainless Steel Class 150,ERSA,MG-VALVE,EA,Manufacturer_C,PN-479,ERP_GENERIC,MARA
MAT-0023,CPSE_04,CAN-008,P-9830,BALL VALVE 50 MM SS CL150,ERSA,MG-VALVE,EA,Manufacturer_A,PN-478,SAP_S4HANA,MARA
MAT-0024,CPSE_03,CAN-008,GV-9371,"ball 2"" valve s.s. cl 150",ERSA,MG-VALVE,EA,Manufacturer_A,PN-474,SAP_S4HANA,MARA
MAT-0025,CPSE_01,CAN-009,VAL-8852,Gate Valve DN200 Alloy Steel Class 900,ERSA,MG-VALVE,NOS,Manufacturer_A,PN-508,SAP_ECC,MARA
MAT-0026,CPSE_04,CAN-009,P-4703,GV DN200 ALLOY STEEL CLASS 900,ERSA,MG-VALVE,NOS,Manufacturer_A,PN-898,SAP_S4HANA,MARA
MAT-0027,CPSE_05,CAN-009,ITM-1474,gate dn200 vlv alloy steel class 900,ERSA,MG-VALVE,NOS,Manufacturer_B,PN-736,ERP_GENERIC,MARA
MAT-0028,CPSE_01,CAN-010,VAL-5066,Globe Valve DN100 Carbon Steel Class 300,ERSA,MG-VALVE,PCS,Manufacturer_A,PN-292,SAP_S4HANA,MARA
MAT-0029,CPSE_05,CAN-010,ITM-3978,GLV 100 MM CS CL300,ERSA,MG-VALVE,PCS,Manufacturer_A,PN-331,ERP_GENERIC,MARA
MAT-0030,CPSE_04,CAN-010,P-5088,"globe 4"" v/v c.s. cl 300",ERSA,MG-VALVE,NOS,Manufacturer_B,PN-624,SAP_S4HANA,MARA
MAT-0031,CPSE_05,CAN-011,ITM-4081,Carbon Steel DN100 API 5L Gr B SCH40,ERSA,MG-PIPE,Meter,Manufacturer_B,PN-120,SAP_ECC,MARA
MAT-0032,CPSE_01,CAN-011,VAL-7020,CS 100 MM API 5L GR B SCH40,ERSA,MG-PIPE,MTR,Manufacturer_A,PN-330,ERP_GENERIC,MARA
MAT-0033,CPSE_04,CAN-011,P-9567,"c.s. api 4"" 5l gr b sch40",ERSA,MG-PIPE,M,Manufacturer_B,PN-335,SAP_ECC,MARA
MAT-0034,CPSE_05,CAN-012,ITM-9464,Carbon Steel DN100 API 5L Gr B SCH80,ERSA,MG-PIPE,Meter,Manufacturer_B,PN-547,SAP_S4HANA,MARA
MAT-0035,CPSE_02,CAN-012,MAT-9307,CS 100 MM API 5L GR B SCH80,ERSA,MG-PIPE,MTR,Manufacturer_A,PN-851,SAP_ECC,MARA
MAT-0036,CPSE_03,CAN-012,GV-7217,"c.s. api 4"" 5l gr b sch80",ERSA,MG-PIPE,Meter,Manufacturer_B,PN-963,ERP_GENERIC,MARA
MAT-0037,CPSE_05,CAN-013,ITM-3317,Stainless Steel DN50 TP304 SCH10S,ERSA,MG-PIPE,Meter,Manufacturer_B,PN-400,ERP_GENERIC,MARA
MAT-0038,CPSE_03,CAN-013,GV-6089,SS 50 MM TP304 SCH10S,ERSA,MG-PIPE,M,Manufacturer_A,PN-590,SAP_S4HANA,MARA
MAT-0039,CPSE_01,CAN-013,VAL-6091,"s.s. tp304 2"" sch10s",ERSA,MG-PIPE,MTR,Manufacturer_C,PN-167,SAP_ECC,MARA
MAT-0040,CPSE_04,CAN-014,P-8710,Stainless Steel DN50 TP316L SCH10S,ERSA,MG-PIPE,M,Manufacturer_B,PN-339,SAP_S4HANA,MARA
MAT-0041,CPSE_05,CAN-014,ITM-8499,SS 50 MM TP316L SCH10S,ERSA,MG-PIPE,Meter,Manufacturer_A,PN-904,SAP_S4HANA,MARA
MAT-0042,CPSE_01,CAN-014,VAL-2313,"s.s. tp316l 2"" sch10s",ERSA,MG-PIPE,M,Manufacturer_B,PN-468,ERP_GENERIC,MARA
MAT-0043,CPSE_03,CAN-015,GV-1318,Alloy Steel DN150 P11 SCH160,ERSA,MG-PIPE,Meter,Manufacturer_C,PN-797,SAP_ECC,MARA
MAT-0044,CPSE_05,CAN-015,ITM-6906,ALLOY STEEL DN150 P11 SCH160,ERSA,MG-PIPE,Meter,Manufacturer_A,PN-303,ERP_GENERIC,MARA
MAT-0045,CPSE_02,CAN-015,MAT-2726,alloy dn150 steel p11 sch160,ERSA,MG-PIPE,M,Manufacturer_C,PN-614,SAP_S4HANA,MARA
MAT-0046,CPSE_02,CAN-016,MAT-7275,HDPE DN110 PE100 SDR11,ERSA,MG-PIPE,MTR,Manufacturer_C,PN-737,SAP_ECC,MARA
MAT-0047,CPSE_05,CAN-016,ITM-1136,HDPE DN110 PE100 SDR11,ERSA,MG-PIPE,Meter,Manufacturer_C,PN-562,SAP_S4HANA,MARA
MAT-0048,CPSE_01,CAN-016,VAL-2832,hdpe pe100 dn110 sdr11,ERSA,MG-PIPE,M,Manufacturer_B,PN-800,SAP_ECC,MARA
MAT-0049,CPSE_05,CAN-017,ITM-7966,Carbon Steel DN200 ASTM A106 Gr B SCH40,ERSA,MG-PIPE,MTR,Manufacturer_B,PN-219,ERP_GENERIC,MARA
MAT-0050,CPSE_01,CAN-017,VAL-8630,CS DN200 ASTM A106 GR B SCH40,ERSA,MG-PIPE,M,Manufacturer_C,PN-408,SAP_ECC,MARA
MAT-0051,CPSE_02,CAN-017,MAT-9037,c.s. astm dn200 a106 gr b sch40,ERSA,MG-PIPE,M,Manufacturer_C,PN-105,ERP_GENERIC,MARA
MAT-0052,CPSE_05,CAN-018,ITM-9084,Stainless Steel DN100 TP316L SCH40S,ERSA,MG-PIPE,M,Manufacturer_C,PN-264,ERP_GENERIC,MARA
MAT-0053,CPSE_03,CAN-018,GV-2664,SS 100 MM TP316L SCH40S,ERSA,MG-PIPE,Meter,Manufacturer_B,PN-855,SAP_S4HANA,MARA
MAT-0054,CPSE_04,CAN-018,P-8285,"s.s. tp316l 4"" sch40s",ERSA,MG-PIPE,M,Manufacturer_B,PN-408,SAP_S4HANA,MARA
