cpse_id,material_id,plant,mrp_type,purchasing_group,safety_stock,reorder_point
CPSE_04,MAT-0001,PL-35,PD,PG-6,3,49
CPSE_02,MAT-0002,PL-57,PD,PG-7,41,55
CPSE_03,MAT-0003,PL-67,ND,PG-8,28,50
CPSE_05,MAT-0004,PL-83,VB,PG-2,26,47
CPSE_04,MAT-0005,PL-75,VB,PG-1,22,53
CPSE_03,MAT-0006,PL-54,VB,PG-2,29,93
CPSE_01,MAT-0007,PL-71,VB,PG-1,30,22
CPSE_04,MAT-0008,PL-28,ND,PG-1,44,57
CPSE_03,MAT-0009,PL-64,VB,PG-7,14,20
CPSE_03,MAT-0010,PL-18,ND,PG-8,20,43
CPSE_05,MAT-0011,PL-80,ND,PG-7,9,85
CPSE_02,MAT-0012,PL-22,VB,PG-4,39,100
CPSE_03,MAT-0013,PL-56,PD,PG-9,36,26
CPSE_04,MAT-0014,PL-14,PD,PG-9,35,79
CPSE_05,MAT-0015,PL-53,VB,PG-1,11,50
CPSE_03,MAT-0016,PL-36,PD,PG-5,16,84
CPSE_04,MAT-0017,PL-12,PD,PG-8,6,99
CPSE_02,MAT-0018,PL-31,PD,PG-7,3,59
CPSE_02,MAT-0019,PL-65,ND,PG-4,18,15
CPSE_03,MAT-0020,PL-38,VB,PG-4,32,80
CPSE_01,MAT-0021,PL-40,PD,PG-4,46,20
CPSE_05,MAT-0022,PL-13,PD,PG-2,39,99
CPSE_04,MAT-0023,PL-46,PD,PG-7,18,45
CPSE_03,MAT-0024,PL-81,ND,PG-1,19,39
CPSE_01,MAT-0025,PL-69,ND,PG-5,23,44
CPSE_04,MAT-0026,PL-93,ND,PG-7,46,58
CPSE_05,MAT-0027,PL-14,ND,PG-4,37,99
CPSE_01,MAT-0028,PL-98,VB,PG-1,26,11
CPSE_05,MAT-0029,PL-93,PD,PG-8,38,45
CPSE_04,MAT-0030,PL-90,VB,PG-1,10,70
CPSE_05,MAT-0031,PL-70,PD,PG-1,2,31
CPSE_01,MAT-0032,PL-93,PD,PG-4,9,94
CPSE_04,MAT-0033,PL-62,VB,PG-6,43,11
CPSE_05,MAT-0034,PL-87,VB,PG-5,50,95
CPSE_02,MAT-0035,PL-97,ND,PG-5,15,68
CPSE_03,MAT-0036,PL-98,ND,PG-5,25,95
CPSE_05,MAT-0037,PL-49,ND,PG-2,13,95
CPSE_03,MAT-0038,PL-44,VB,PG-9,43,74
CPSE_01,MAT-0039,PL-63,VB,PG-6,48,43
CPSE_04,MAT-0040,PL-39,ND,PG-2,27,87
CPSE_05,MAT-0041,PL-13,ND,PG-1,17,96
CPSE_01,MAT-0042,PL-47,ND,PG-7,0,48
CPSE_03,MAT-0043,PL-93,PD,PG-8,49,51
CPSE_05,MAT-0044,PL-31,ND,PG-2,28,12
CPSE_02,MAT-0045,PL-80,VB,PG-7,18,98
CPSE_02,MAT-0046,PL-87,ND,PG-2,33,79
CPSE_05,MAT-0047,PL-70,VB,PG-8,19,57
CPSE_01,MAT-0048,PL-76,PD,PG-4,13,27
CPSE_05,MAT-0049,PL-94,VB,PG-5,42,37
CPSE_01,MAT-0050,PL-89,ND,PG-1,13,23
CPSE_02,MAT-0051,PL-68,ND,PG-3,1,56
CPSE_05,MAT-0052,PL-86,PD,PG-3,34,100
CPSE_03,MAT-0053,PL-48,ND,PG-8,1,44
CPSE_04,MAT-0054,PL-95,VB,PG-9,34,97
CPSE_05,MAT-0055,PL-52,VB,PG-6,47,42
CPSE_01,MAT-0056,PL-13,VB,PG-8,33,64
CPSE_02,MAT-0057,PL-17,VB,PG-1,14,78
CPSE_01,MAT-0058,PL-59,VB,PG-4,2,55
CPSE_04,MAT-0059,PL-68,PD,PG-3,34,51
CPSE_05,MAT-0060,PL-27,PD,PG-7,15,53
CPSE_03,MAT-0061,PL-99,VB,PG-2,8,20
CPSE_01,MAT-0062,PL-86,ND,PG-3,25,43
CPSE_02,MAT-0063,PL-89,ND,PG-8,34,29
CPSE_01,MAT-0064,PL-67,VB,PG-5,16,66
CPSE_05,MAT-0065,PL-47,VB,PG-4,1,84
CPSE_03,MAT-0066,PL-85,PD,PG-5,30,44
CPSE_05,MAT-0067,PL-95,VB,PG-4,30,58
CPSE_03,MAT-0068,PL-53,VB,PG-1,24,10
CPSE_04,MAT-0069,PL-10,VB,PG-5,10,82
CPSE_05,MAT-0070,PL-19,ND,PG-7,45,77
CPSE_03,MAT-0071,PL-83,VB,PG-1,41,16
CPSE_04,MAT-0072,PL-45,PD,PG-9,17,65
CPSE_04,MAT-0073,PL-72,PD,PG-3,23,18
CPSE_03,MAT-0074,PL-26,VB,PG-1,20,84
CPSE_02,MAT-0075,PL-16,VB,PG-8,30,39
CPSE_04,MAT-0076,PL-27,VB,PG-5,39,52
CPSE_01,MAT-0077,PL-67,VB,PG-7,43,63
CPSE_02,MAT-0078,PL-98,PD,PG-8,19,96
CPSE_04,MAT-0079,PL-37,ND,PG-3,7,16
CPSE_05,MAT-0080,PL-32,ND,PG-2,7,14
CPSE_03,MAT-0081,PL-99,PD,PG-1,33,58
CPSE_02,MAT-0082,PL-67,ND,PG-2,15,18
CPSE_01,MAT-0083,PL-65,VB,PG-6,14,53
CPSE_03,MAT-0084,PL-51,VB,PG-6,38,56
CPSE_04,MAT-0085,PL-70,ND,PG-5,22,87
CPSE_05,MAT-0086,PL-31,PD,PG-8,50,77
CPSE_02,MAT-0087,PL-30,PD,PG-2,23,52
CPSE_02,MAT-0088,PL-62,VB,PG-2,14,83
CPSE_04,MAT-0089,PL-29,PD,PG-6,12,36
CPSE_03,MAT-0090,PL-28,ND,PG-6,43,34
CPSE_03,MAT-0091,PL-58,VB,PG-4,14,13
CPSE_05,MAT-0092,PL-75,ND,PG-4,27,25
CPSE_02,MAT-0093,PL-69,VB,PG-5,16,25
CPSE_01,MAT-0094,PL-99,VB,PG-7,13,48
CPSE_02,MAT-0095,PL-11,PD,PG-7,7,30
CPSE_04,MAT-0096,PL-63,VB,PG-2,25,39
CPSE_01,MAT-0097,PL-52,PD,PG-5,40,51
CPSE_02,MAT-0098,PL-25,VB,PG-7,11,85
CPSE_05,MAT-0099,PL-48,ND,PG-7,32,26
CPSE_03,MAT-0100,PL-22,PD,PG-5,19,37
CPSE_02,MAT-0101,PL-48,VB,PG-6,22,28
CPSE_01,MAT-0102,PL-51,ND,PG-9,30,84
CPSE_01,MAT-0103,PL-84,PD,PG-6,8,11
CPSE_03,MAT-0104,PL-79,ND,PG-3,40,98
CPSE_05,MAT-0105,PL-84,ND,PG-5,15,39
CPSE_03,MAT-0106,PL-35,ND,PG-3,49,26
CPSE_05,MAT-0107,PL-93,VB,PG-5,5,58
CPSE_01,MAT-0108,PL-59,ND,PG-5,18,48
CPSE_05,MAT-0109,PL-46,ND,PG-5,36,54
CPSE_01,MAT-0110,PL-98,VB,PG-8,13,22
CPSE_03,MAT-0111,PL-22,VB,PG-8,50,73
CPSE_05,MAT-0112,PL-62,VB,PG-1,46,85
CPSE_03,MAT-0113,PL-85,PD,PG-1,39,64
CPSE_02,MAT-0114,PL-31,PD,PG-3,32,29
CPSE_03,MAT-0115,PL-19,ND,PG-9,41,91
CPSE_05,MAT-0116,PL-85,ND,PG-9,30,63
CPSE_02,MAT-0117,PL-96,PD,PG-4,29,84
CPSE_05,MAT-0118,PL-55,VB,PG-2,39,74
CPSE_02,MAT-0119,PL-72,VB,PG-2,4,62
CPSE_01,MAT-0120,PL-98,PD,PG-7,45,41
