cpse_id,material_id,vendor_id,vendor_material_no,price,currency
CPSE_04,MAT-0001,VND-186,PN-985,775.69,INR
CPSE_02,MAT-0002,VND-151,PN-659,4635.13,INR
CPSE_03,MAT-0003,VND-124,PN-839,3612.1,INR
CPSE_05,MAT-0004,VND-124,PN-103,943.06,INR
CPSE_04,MAT-0005,VND-117,PN-431,100.58,INR
CPSE_03,MAT-0006,VND-168,PN-908,4938.58,INR
CPSE_01,MAT-0007,VND-156,PN-577,505.5,INR
CPSE_04,MAT-0008,VND-121,PN-462,4157.6,INR
CPSE_03,MAT-0009,VND-199,PN-133,1720.59,INR
CPSE_03,MAT-0010,VND-136,PN-432,1721.84,INR
CPSE_05,MAT-0011,VND-158,PN-198,4754.12,INR
CPSE_02,MAT-0012,VND-145,PN-948,172.93,INR
CPSE_03,MAT-0013,VND-187,PN-311,1748.27,INR
CPSE_04,MAT-0014,VND-177,PN-241,518.85,INR
CPSE_05,MAT-0015,VND-173,PN-783,3043.65,INR
CPSE_03,MAT-0016,VND-146,PN-533,976.81,INR
CPSE_04,MAT-0017,VND-174,PN-409,3424.64,INR
CPSE_02,MAT-0018,VND-117,PN-239,3600.83,INR
CPSE_02,MAT-0019,VND-154,PN-884,1359.78,INR
CPSE_03,MAT-0020,VND-170,PN-119,1371.38,INR
CPSE_01,MAT-0021,VND-188,PN-177,4191.52,INR
CPSE_05,MAT-0022,VND-159,PN-479,1522.32,INR
CPSE_04,MAT-0023,VND-121,PN-478,4334.3,INR
CPSE_03,MAT-0024,VND-133,PN-474,3776.97,INR
CPSE_01,MAT-0025,VND-191,PN-508,1532.75,INR
CPSE_04,MAT-0026,VND-172,PN-898,3347.7,INR
CPSE_05,MAT-0027,VND-195,PN-736,2183.64,INR
CPSE_01,MAT-0028,VND-175,PN-292,2007.54,INR
CPSE_05,MAT-0029,VND-197,PN-331,1359.99,INR
CPSE_04,MAT-0030,VND-178,PN-624,3579.6,INR
CPSE_05,MAT-0031,VND-155,PN-120,2336.42,INR
CPSE_01,MAT-0032,VND-154,PN-330,1644.47,INR
CPSE_04,MAT-0033,VND-159,PN-335,2915.62,INR
CPSE_05,MAT-0034,VND-147,PN-547,1416.83,INR
CPSE_02,MAT-0035,VND-129,PN-851,687.65,INR
CPSE_03,MAT-0036,VND-151,PN-963,2573.92,INR
CPSE_05,MAT-0037,VND-139,PN-400,318.39,INR
CPSE_03,MAT-0038,VND-146,PN-590,801.01,INR
CPSE_01,MAT-0039,VND-139,PN-167,786.68,INR
CPSE_04,MAT-0040,VND-180,PN-339,4187.78,INR
CPSE_05,MAT-0041,VND-119,PN-904,932.4,INR
CPSE_01,MAT-0042,VND-138,PN-468,103.53,INR
CPSE_03,MAT-0043,VND-154,PN-797,4202.14,INR
CPSE_05,MAT-0044,VND-116,PN-303,2847.81,INR
CPSE_02,MAT-0045,VND-105,PN-614,109.65,INR
CPSE_02,MAT-0046,VND-119,PN-737,1084.15,INR
CPSE_05,MAT-0047,VND-194,PN-562,3999.54,INR
CPSE_01,MAT-0048,VND-107,PN-800,1389.35,INR
CPSE_05,MAT-0049,VND-136,PN-219,2436.78,INR
