corpus_id,organization,source_system,source_section,tender_reference,tender_id,description,description_kind,item_type_hint,quantity,unit,location,product_category,document_url,source_url
M000001,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1236/1231,procurement_plan_item,,1233,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000002,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,14.2 Kg Cylinders (Including New & Replacement),procurement_plan_item,,,Nos.,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000003,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1415/1417/1418,procurement_plan_item,,1415,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000004,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1507/1534,procurement_plan_item,,1551,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000005,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1599+3001/1543+460 1,procurement_plan_item,,1553,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000006,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1599+3001/1543+4601,procurement_plan_item,,1553,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000007,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1599/1613,procurement_plan_item,,1545,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000008,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1617/1585+1621,procurement_plan_item,,1643,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000009,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1617/1772+4574,procurement_plan_item,,1685,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000010,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1666/1756,procurement_plan_item,,1764,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000011,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1712/1714,procurement_plan_item,,1710,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
M000012,Indian Oil Corporation Limited,iocl.com,Future Procurement Plan FY2025-26,,,1738/1770,procurement_plan_item,,1575,,,,data/raw/iocl/tenders/Future_Procurement_Plan25-26.pdf,
