ITEMNUM,DESCRIPTION,ITEMSETID,ITEMTYPE,ORDERUNIT,ISSUEUNIT,COMMODITYGROUP,COMMODITY,STATUS,ROTATING,SITEID,LOCATION,CURBAL,UNITCOST,NATIONAL_ID
MX-40911,"VALVE, BALL, 2"", CL150, ASTM A216 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,BALL,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,12,1260.0,
MX-40912,"VALVE, BALL, 3"", CL150, ASTM A216 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,BALL,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,19,2520.0,
MX-40913,"VALVE, BALL, 4"", CL300, ASTM A216 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,BALL,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,26,3780.0,
MX-40914,"VALVE, GATE, 2"", CL150, API 600 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,GATE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,33,5040.0,
MX-40915,"VALVE, GATE, 4"", CL150, API 600 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,GATE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,40,6300.0,
MX-40916,"VALVE, GATE, 6"", CL300, API 600 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,GATE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,47,7560.0,
MX-40917,"VALVE, GLOBE, 2"", CL150, ASTM A216 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,GLOBE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,54,8820.0,
MX-40918,"VALVE, GLOBE, 3"", CL300, ASTM A216 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,GLOBE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,11,10080.0,
MX-40919,"VALVE, CHECK, 4"", CL150, BS 1868 WCB, FLANGED",SET1,ITEM,NOS,NOS,VALVE,CHECK,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,18,11340.0,
MX-40920,"VALVE, BUTTERFLY, 6"", PN16, DI BODY EPDM LINED, FLANGED",SET1,ITEM,NOS,NOS,VALVE,BUTTERFLY,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,25,12600.0,
MX-40921,"PIPE, SEAMLESS, 2"", SCH 40, ASTM A106 GR B",SET1,ITEM,MTR,MTR,PIPE,SEAMLESS,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,32,13860.0,
MX-40922,"PIPE, SEAMLESS, 3"", SCH 40, ASTM A106 GR B",SET1,ITEM,MTR,MTR,PIPE,SEAMLESS,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,39,15120.0,
MX-40923,"PIPE, SEAMLESS, 4"", SCH 40, ASTM A106 GR B",SET1,ITEM,MTR,MTR,PIPE,SEAMLESS,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,46,16380.0,
MX-40924,"PIPE, SEAMLESS, 6"", SCH 40, ASTM A106 GR B",SET1,ITEM,MTR,MTR,PIPE,SEAMLESS,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,53,17640.0,
MX-40925,"PIPE, SEAMLESS, 8"", SCH 80, ASTM A106 GR B",SET1,ITEM,MTR,MTR,PIPE,SEAMLESS,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,10,18900.0,
MX-40926,"PIPE, STAINLESS, 2"", SCH 40S, ASTM A312 TP304L",SET1,ITEM,MTR,MTR,PIPE,STAINLESS,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,17,20160.0,
MX-40927,"PIPE, STAINLESS, 4"", SCH 40S, ASTM A312 TP304L",SET1,ITEM,MTR,MTR,PIPE,STAINLESS,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,24,21420.0,
MX-40928,"PIPE, STAINLESS, 2"", SCH 40S, ASTM A312 TP316L",SET1,ITEM,MTR,MTR,PIPE,STAINLESS,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,31,22680.0,
MX-40929,"PIPE, ERW, 100MM, HEAVY, IS 1239 PART 1",SET1,ITEM,MTR,MTR,PIPE,ERW,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,38,23940.0,
MX-40930,"PIPE, ERW, 150MM, HEAVY, IS 3589 FE 410",SET1,ITEM,MTR,MTR,PIPE,ERW,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,45,25200.0,
MX-40931,"FLANGE, WNRF, 2"", CL150, ASTM A105 SCH 40",SET1,ITEM,PC,PC,FLANGE,WNRF,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,52,26460.0,
MX-40932,"FLANGE, WNRF, 4"", CL150, ASTM A105 SCH 40",SET1,ITEM,PC,PC,FLANGE,WNRF,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,9,27720.0,
MX-40933,"FLANGE, WNRF, 6"", CL300, ASTM A105 SCH 40",SET1,ITEM,PC,PC,FLANGE,WNRF,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,16,28980.0,
MX-40934,"FLANGE, SORF, 2"", CL150, ASTM A105",SET1,ITEM,PC,PC,FLANGE,SORF,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,23,30240.0,
MX-40935,"FLANGE, SORF, 4"", CL150, ASTM A105",SET1,ITEM,PC,PC,FLANGE,SORF,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,30,31500.0,
MX-40936,"FLANGE, BLIND, 2"", CL150, ASTM A105 RF",SET1,ITEM,PC,PC,FLANGE,BLIND,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,37,32760.0,
MX-40937,"FLANGE, BLIND, 4"", CL150, ASTM A105 RF",SET1,ITEM,PC,PC,FLANGE,BLIND,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,44,34020.0,
MX-40938,"FLANGE, WNRF, 2"", CL150, ASTM A182 F316L",SET1,ITEM,PC,PC,FLANGE,WNRF,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,51,35280.0,
MX-40939,"BOLT, STUD, 3/4IN X 100MM, A193 B7 W/ 2 NUTS A194 2H",SET1,ITEM,SET,SET,FASTENER,STUD BOLT,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,8,36540.0,
MX-40940,"BOLT, STUD, 7/8IN X 120MM, A193 B7 W/ 2 NUTS A194 2H",SET1,ITEM,SET,SET,FASTENER,STUD BOLT,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,15,37800.0,
MX-40941,"BOLT, STUD, 1IN X 150MM, A193 B7 W/ 2 NUTS A194 2H",SET1,ITEM,SET,SET,FASTENER,STUD BOLT,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,22,39060.0,
MX-40942,"BOLT, STUD, M16 X 60MM, IS 1363 CLASS 8.8 GALV",SET1,ITEM,NOS,NOS,FASTENER,HEX BOLT,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,29,40320.0,
MX-40943,"GASKET, SPIRAL WOUND, 2"", CL150, SS316 / GRAPHITE ASME B16.20",SET1,ITEM,NOS,NOS,GASKET,SPIRAL WOUND,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,36,41580.0,
MX-40944,"GASKET, SPIRAL WOUND, 4"", CL150, SS316 / GRAPHITE ASME B16.20",SET1,ITEM,NOS,NOS,GASKET,SPIRAL WOUND,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,43,42840.0,
MX-40945,"GASKET, SPIRAL WOUND, 6"", CL300, SS316 / GRAPHITE ASME B16.20",SET1,ITEM,NOS,NOS,GASKET,SPIRAL WOUND,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,50,44100.0,
MX-40946,"CABLE, HT XLPE, 3C X 240 SQMM, 11KV, AL ARMOURED IS 7098 P2",SET1,ITEM,MTR,MTR,CABLE,HT XLPE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,7,45360.0,
MX-40947,"CABLE, HT XLPE, 3C X 300 SQMM, 11KV, AL ARMOURED IS 7098 P2",SET1,ITEM,MTR,MTR,CABLE,HT XLPE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,14,46620.0,
MX-40948,"CABLE, HT XLPE, 3C X 300 SQMM, 33KV, AL ARMOURED IS 7098 P2",SET1,ITEM,MTR,MTR,CABLE,HT XLPE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,21,47880.0,
MX-40949,"CABLE, LT XLPE, 4C X 16 SQMM, 1.1KV, AL ARMOURED IS 7098 P1",SET1,ITEM,MTR,MTR,CABLE,LT XLPE,ACTIVE,0,SINGRAULI_PWR,CENTRAL_STORE,28,49140.0,
MX-40950,"CABLE, LT XLPE, 4C X 25 SQMM, 1.1KV, AL ARMOURED IS 7098 P1",SET1,ITEM,MTR,MTR,CABLE,LT XLPE,ACTIVE,0,BHILAI_STEEL,CENTRAL_STORE,35,50400.0,
