MATNR,MAKTX,MEINS,BSTME,MATKL,MTART,WERKS,LGORT,BKLAS,VPRSV,VERPR,STPRS,EXTWG
0000000010045891,"VLV BALL 2"" CL150 RF CS FLGD ASTM A216 WCB",EA,EA,VAL-01,ERSA,1002,0001,3040,V,1250.5,1250.5,
0000000010045892,"VLV BALL 3"" CL150 RF CS FLGD ASTM A216 WCB",EA,EA,VAL-01,ERSA,1001,0001,3040,V,2501.0,2501.0,
0000000010045893,"VLV BALL 4"" CL300 RF CS FLGD ASTM A216 WCB",EA,EA,VAL-01,ERSA,1002,0001,3040,V,3751.5,3751.5,
0000000010045894,"VLV GATE 2"" CL150 RF CS FLGD API 600 WCB",EA,EA,VAL-01,ERSA,1001,0001,3040,V,5002.0,5002.0,
0000000010045895,"VLV GATE 4"" CL150 RF CS FLGD API 600 WCB",EA,EA,VAL-01,ERSA,1002,0001,3040,V,6252.5,6252.5,
0000000010045896,"VLV GATE 6"" CL300 RF CS FLGD API 600 WCB",EA,EA,VAL-01,ERSA,1001,0001,3040,V,7503.0,7503.0,
0000000010045897,"VLV GLOBE 2"" CL150 RF CS FLGD ASTM A216 WCB",EA,EA,VAL-01,ERSA,1002,0001,3040,V,8753.5,8753.5,
0000000010045898,"VLV GLOBE 3"" CL300 RF CS FLGD ASTM A216 WCB",EA,EA,VAL-01,ERSA,1001,0001,3040,V,10004.0,10004.0,
0000000010045899,"VLV CHECK 4"" CL150 RF CS FLGD BS 1868 WCB",EA,EA,VAL-01,ERSA,1002,0001,3040,V,11254.5,11254.5,
0000000010045900,"VLV BUTTERFLY 6"" PN16 RF CS FLGD DI BODY EPDM LINED",EA,EA,VAL-01,ERSA,1001,0001,3040,V,12505.0,12505.0,
0000000010045901,"PIPE SEAMLESS 2"" SCH 40 ASTM A106 GR B",MTR,MTR,PIP-01,ROH,1002,0001,3000,V,13755.5,13755.5,
0000000010045902,"PIPE SEAMLESS 3"" SCH 40 ASTM A106 GR B",MTR,MTR,PIP-01,ROH,1001,0001,3000,V,15006.0,15006.0,
