scheme,standard_number,base_is_number,product_name,category,qco_notification
Scheme-I (ISI Mark),IS 12330,IS 12330,Sulphate Resisting Portland Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 12600,IS 12600,Low heat Portland Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 1489 (,IS 1489,Portland Pozzolana Cement-Part1 Fly-ash based,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 1489 (,IS 1489,Portland Pozzolana Cement-Part 2 Calcined clay based,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 269,IS 269,Ordinary Portland Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 3466,IS 3466,Masonry Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 455,IS 455,Portland Slag Cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 6452,IS 6452,High Alumina Cement for Structural use,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 6909,IS 6909,Super sulphated cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
Scheme-I (ISI Mark),IS 8041,IS 8041,Rapid hardening Portland cement,Cement (any variety of cement manufactured or sold in India) such as,"1. Cement (Quality Control)Order, 2003 S.O. No. 191(E) Dt. 17 Feb 2003"
