standard_number,base_is_number,title,date_of_publish,type_of_standard,degree_of_equivalence,ministries_and_departments,source_files,is_qco_mandatory,qco_name,qco_category
IS 10008:2024,IS 10008,Beater Addition Jointings  Specification,01 Aug 2024,Product Specification,Indigenous,Mechanical Engineering Department (MED),med,False,,
IS 10016 (Part 1):1981,IS 10016,Methods of test for polybutadiene rubbers: Part 1 method of taking out test portions from sample bales,31 Mar 1982,Methods of Tests,Indigenous,"Petroleum, Coal and Related Products Department (PCD)",pcd,False,,
IS 10016 (Part 2):1984,IS 10016,Methods of test for polybutadiene rubbers: Part 2 determination of ash,30 Nov 1984,Methods of Tests,Indigenous,"Petroleum, Coal and Related Products Department (PCD)",pcd,False,,
IS 10016 (Part 4):1984,IS 10016,"Methods of test for polybutadiene rubbers: Part 4 determination of cis, trans and vinyl structure",31 Dec 1984,Methods of Tests,Indigenous,"Petroleum, Coal and Related Products Department (PCD)",pcd,False,,
IS 10016 (Part 5):1981,IS 10016,Methods of test for polybutadiene rubbers: Part 5 determination of gel content,28 Feb 1982,Methods of Tests,Indigenous,"Petroleum, Coal and Related Products Department (PCD)",pcd,False,,
IS 10016 (Part 6):2000,IS 10016,Methods of test for polybutadiene rubbers: Part 6 evaluation of vulcanization characteristics of polybutadiene rubbers (Br : 2),31 May 2000,Methods of Tests,Not Equivalent,"Department for Promotion of Industry and Internal Trade (DPIIT); Petroleum, Coal and Related Products Department (PCD)",modpiit; pcd,False,,
IS 10017:1981,IS 10017,Code of practice for construction of cocoa beans storage structures,31 Jul 1982,Code of Practice,Indigenous,Department for Promotion of Industry and Internal Trade (DPIIT),modpiit,False,,
IS 1001:1991,IS 1001,Synthetic rubber proofed/coated fuel pump diaphragm fabric - specification (first revision),31 Dec 1991,Product Specification,Indigenous,Department for Promotion of Industry and Internal Trade (DPIIT),modpiit,False,,
IS 10026 (Part 1):1998,IS 10026,Insulating varnishes containing solvents: Part 1 definitions and general requirements (First Revision),31 May 1998,Terminology,Modified/Technically Equivalent,Electrotechnical Department (ETD); Ministry of Petroleum & Natural Gas (MoPNG); Ministry of Power,etd; mopng; mopower,False,,
IS 10026 (Part 2):1999,IS 10026,Insulating varnishes containing solvents: Part 2 methods of tests (First Revision),31 Jul 1999,Methods of Tests,Modified/Technically Equivalent,Electrotechnical Department (ETD); Ministry of Petroleum & Natural Gas (MoPNG); Ministry of Power,etd; mopng; mopower,False,,
IS 10026 (Part 3/Sec 1):1999,IS 10026,Insulating varnishes containing solvents: Part 3 specifications for individual materials: Sec 1 requirements for cold curing finishing varnishes (First Revision),28 Feb 1999,Product Specification,Modified/Technically Equivalent,Electrotechnical Department (ETD); Ministry of Petroleum & Natural Gas (MoPNG); Ministry of Power,etd; mopng; mopower,False,,
IS 10026 (Part 3/Sec 2):1999,IS 10026,Insulating varnishes containing solvents: Part 3 specifications for individual materials: Sec 2 requirements for hot curing varnishes (First Revision),31 Jan 1999,Product Specification,Modified/Technically Equivalent,Electrotechnical Department (ETD); Ministry of Petroleum & Natural Gas (MoPNG); Ministry of Power,etd; mopng; mopower,False,,
IS 10026 (Part 3/Sec 3):1983,IS 10026,Specification for insulating varnishes containing solvents: Part 3 specifications for individual materials: Sec 3 air drying varnishes with temperature index 130,31 Aug 1983,Product Specification,Indigenous,Electrotechnical Department (ETD); Ministry of Petroleum & Natural Gas (MoPNG); Ministry of Power,etd; mopng; mopower,False,,
