surface_form,canonical_form,attribute,note
BALL VL,BALL VALVE,item_type,CPSE shorthand seen in oil & gas catalogs
BALL VLV,BALL VALVE,item_type,
BLV,BALL VALVE,item_type,
GATE VLV,GATE VALVE,item_type,
GATE VL,GATE VALVE,item_type,
GLB VLV,GLOBE VALVE,item_type,
GLOBE VL,GLOBE VALVE,item_type,
BFLY VLV,BUTTERFLY VALVE,item_type,
B/F VLV,BUTTERFLY VALVE,item_type,
BUTTERFLY VL,BUTTERFLY VALVE,item_type,
CHK VLV,CHECK VALVE,item_type,
NRV,CHECK VALVE,item_type,non-return valve
NON RETURN VALVE,CHECK VALVE,item_type,
CTRL VLV,CONTROL VALVE,item_type,
CV,CONTROL VALVE,item_type,ambiguous: also control valve
PSV,PRESSURE SAFETY VALVE,item_type,
PRV,PRESSURE RELIEF VALVE,item_type,
SAFETY VLV,SAFETY VALVE,item_type,
RELIEF VLV,RELIEF VALVE,item_type,
NDL VLV,NEEDLE VALVE,item_type,
PLUG VLV,PLUG VALVE,item_type,
DIA VLV,DIAPHRAGM VALVE,item_type,
VLV,VALVE,item_type,
VLVS,VALVE,item_type,
ACTR,ACTUATOR,component,
TRIM,TRIM,component,valve internal parts
PMP,PUMP,item_type,
CNTRFGL PMP,CENTRIFUGAL PUMP,item_type,
CENT PUMP,CENTRIFUGAL PUMP,item_type,
RECIP PUMP,RECIPROCATING PUMP,item_type,
MECH SEAL,MECHANICAL SEAL,component,
M/S,MECHANICAL SEAL,component,context dependent
IMPL,IMPELLER,component,
BRG,BEARING,component,
BRG.,BEARING,component,
COMP,COMPRESSOR,item_type,
CMPR,COMPRESSOR,item_type,
GBX,GEARBOX,item_type,
G/B,GEARBOX,item_type,
CPLG,COUPLING,component,
HX,HEAT EXCHANGER,item_type,
AFC,AIR FIN COOLER,item_type,
FIN FAN COOLER,AIR FIN COOLER,item_type,
PIPE FTG,PIPE FITTING,item_type,
FTG,FITTING,item_type,
FTGS,FITTING,item_type,
FLG,FLANGE,item_type,
FLGS,FLANGE,item_type,
WN,WELD NECK,end_connection,weld neck flange
SO,SLIP ON,end_connection,slip-on flange
BL,BLIND,end_connection,blind flange
LJ,LAP JOINT,end_connection,
SW,SOCKET WELD,end_connection,
BW,BUTT WELD,end_connection,
THD,THREADED,end_connection,
NPT,NPT THREADED,end_connection,National Pipe Thread
RF,RAISED FACE,end_connection,flange facing
FF,FLAT FACE,end_connection,flange facing
RTJ,RING TYPE JOINT,end_connection,flange facing
SMLS,SEAMLESS,manufacturing,
SEML,SEAMLESS,manufacturing,
ERW,ELECTRIC RESISTANCE WELD,manufacturing,
SAW,SUBMERGED ARC WELD,manufacturing,
LSAW,LONGITUDINAL SUBMERGED ARC WELD,manufacturing,
DSAW,DOUBLE SUBMERGED ARC WELD,manufacturing,
GASK,GASKET,item_type,
SWG,SPIRAL WOUND GASKET,item_type,
STUD BOLT,STUD BOLT,item_type,
CS,CARBON STEEL,material,
C.S.,CARBON STEEL,material,
CARB.STEEL,CARBON STEEL,material,
MS,MILD STEEL,material,
SS,STAINLESS STEEL,material,
S.S.,STAINLESS STEEL,material,
SS304,STAINLESS STEEL 304,material,
SS316,STAINLESS STEEL 316,material,
AS,ALLOY STEEL,material,
LTCS,LOW TEMPERATURE CARBON STEEL,material,
DUPLEX,DUPLEX STAINLESS STEEL,material,
GV,GALVANISED,material,
GI,GALVANISED IRON,material,
CI,CAST IRON,material,
DI,DUCTILE IRON,material,
WCB,CAST CARBON STEEL WCB,material_grade,ASTM A216 Gr WCB
WC6,CAST ALLOY STEEL WC6,material_grade,ASTM A217 Gr WC6
WC9,CAST ALLOY STEEL WC9,material_grade,ASTM A217 Gr WC9
CF8,CAST STAINLESS STEEL CF8,material_grade,ASTM A351 CF8
CF8M,CAST STAINLESS STEEL CF8M,material_grade,ASTM A351 CF8M
A105,FORGED CARBON STEEL A105,material_grade,ASTM A105
A182 F11,FORGED ALLOY STEEL F11,material_grade,ASTM A182 F11
A182 F22,FORGED ALLOY STEEL F22,material_grade,ASTM A182 F22
A182 F304,FORGED STAINLESS STEEL F304,material_grade,
A182 F316,FORGED STAINLESS STEEL F316,material_grade,
A106 GR B,SEAMLESS CARBON STEEL PIPE A106 GR B,material_grade,ASTM A106
A53 GR B,CARBON STEEL PIPE A53 GR B,material_grade,ASTM A53
A312 TP304,STAINLESS STEEL PIPE A312 TP304,material_grade,
A312 TP316,STAINLESS STEEL PIPE A312 TP316,material_grade,
A193 B7,ALLOY STEEL STUD BOLT B7,material_grade,ASTM A193 B7
A194 2H,CARBON STEEL NUT 2H,material_grade,ASTM A194 2H
API 5L,API 5L LINE PIPE,material_grade,
IS 1239,IS 1239 STEEL TUBE,material_grade,Indian Standard
IS 3589,IS 3589 ERW STEEL TUBE,material_grade,
XMER,TRANSFORMER,item_type,
TRF,TRANSFORMER,item_type,
TX,TRANSFORMER,item_type,context dependent
VCB,VACUUM CIRCUIT BREAKER,item_type,
SF6 CB,SF6 CIRCUIT BREAKER,item_type,
ACB,AIR CIRCUIT BREAKER,item_type,
MCCB,MOULDED CASE CIRCUIT BREAKER,item_type,
MCB,MINIATURE CIRCUIT BREAKER,item_type,
CT,CURRENT TRANSFORMER,item_type,
PT,POTENTIAL TRANSFORMER,item_type,
LA,LIGHTNING ARRESTER,item_type,
VFD,VARIABLE FREQUENCY DRIVE,item_type,
XLPE,CROSS LINKED POLYETHYLENE CABLE,material,
PILC,PAPER INSULATED LEAD COVERED CABLE,material,
PG,PRESSURE GAUGE,item_type,
TT,TEMPERATURE TRANSMITTER,item_type,
PTX,PRESSURE TRANSMITTER,item_type,
LT,LEVEL TRANSMITTER,item_type,
FT,FLOW TRANSMITTER,item_type,
TC,THERMOCOUPLE,item_type,
RTD,RESISTANCE TEMPERATURE DETECTOR,item_type,
PT100,PLATINUM RTD PT100,item_type,
ORF,ORIFICE,item_type,
PLC,PROGRAMMABLE LOGIC CONTROLLER,item_type,
DCS,DISTRIBUTED CONTROL SYSTEM,item_type,
ESD,EMERGENCY SHUTDOWN SYSTEM,item_type,
AMC,ANNUAL MAINTENANCE CONTRACT,contract_type,
O&M,OPERATION AND MAINTENANCE,contract_type,
EPC,ENGINEERING PROCUREMENT CONSTRUCTION,contract_type,
NIT,NOTICE INVITING TENDER,document_type,
BOQ,BILL OF QUANTITIES,document_type,
EMD,EARNEST MONEY DEPOSIT,commercial,
EOI,EXPRESSION OF INTEREST,document_type,
RFQ,REQUEST FOR QUOTATION,document_type,
PO,PURCHASE ORDER,document_type,
GTC,GENERAL TERMS AND CONDITIONS,document_type,
SPARES,SPARE PARTS,item_class,
SP,SPARE PARTS,item_class,
CAPITAL SPARES,CAPITAL SPARE PARTS,item_class,
MISC,MISCELLANEOUS,item_class,
MTS,MADE TO SPECIFICATION,sourcing,
