surface_form,asme_class,approx_pn,note
150,CLASS 150,PN20,ASME B16.5 Class 150
150#,CLASS 150,PN20,hash notation
CL 150,CLASS 150,PN20,
CLASS150,CLASS 150,PN20,
300,CLASS 300,PN50,
300#,CLASS 300,PN50,"hash notation, e.g. 'BALL VALVE 4"" CS 300#'"
CL 300,CLASS 300,PN50,
CL300,CLASS 300,PN50,
CLASS-300,CLASS 300,PN50,hyphenated form seen in BPCL-style text
CLASS 300,CLASS 300,PN50,
600,CLASS 600,PN100,
600#,CLASS 600,PN100,
CL 600,CLASS 600,PN100,
900,CLASS 900,PN150,
CL 900,CLASS 900,PN150,
1500,CLASS 1500,PN250,
CL 1500,CLASS 1500,PN250,
2500,CLASS 2500,PN420,
PN6,PN6,CLASS 150,
PN10,PN10,CLASS 150,
PN16,PN16,CLASS 150,
PN25,PN25,CLASS 300,
PN40,PN40,CLASS 300,
PN64,PN64,CLASS 600,
PN100,PN100,CLASS 600,
PN160,PN160,CLASS 900,
PN250,PN250,CLASS 1500,
PN420,PN420,CLASS 2500,


