surface_form,canonical_unit,quantity,factor_to_canonical,note
EA,NOS,count,1,
EACH,NOS,count,1,
NO,NOS,count,1,
NO.,NOS,count,1,
NOS,NOS,count,1,
NOS.,NOS,count,1,
NUM,NOS,count,1,
NUMBER,NOS,count,1,
NUMBERS,NOS,count,1,
PC,NOS,count,1,
PCS,NOS,count,1,
PIECE,NOS,count,1,
PIECES,NOS,count,1,
SET,SET,count,1,
SETS,SET,count,1,
PAIR,PAIR,count,1,
PAIRS,PAIR,count,1,
LOT,LOT,count,1,
LOTS,LOT,count,1,
PKG,PACKAGE,count,1,
PACKAGE,PACKAGE,count,1,
ASSORTED,LOT,count,1,common in IOCL plan
ITEM,NOS,count,1,
UNIT,NOS,count,1,
UNITS,NOS,count,1,
MM,MM,length,1,
MMS,MM,length,1,
MILLIMETER,MM,length,1,
MILLIMETRE,MM,length,1,
CM,MM,length,10,
CENTIMETER,MM,length,10,
M,M,length,1,
MTR,M,length,1,
MTRS,M,length,1,
METER,M,length,1,
METRE,M,length,1,
METERS,M,length,1,
KM,KM,length,1,
KMS,KM,length,1,
KILOMETER,KM,length,1,
IN,INCH,length,1,size in inches
IN.,INCH,length,1,
INCH,INCH,length,1,
INCHES,INCH,length,1,
"""",INCH,length,1,"double-quote notation e.g. 4"""
NB,MM,length,1,"nominal bore, stated in mm"
DN,MM,length,1,"diametre nominal, stated in mm"
1/2 INCH,15 MM,size_equivalence,1,
3/4 INCH,20 MM,size_equivalence,1,
1 INCH,25 MM,size_equivalence,1,
1-1/2 INCH,40 MM,size_equivalence,1,
1 1/2 INCH,40 MM,size_equivalence,1,
2 INCH,50 MM,size_equivalence,1,
3 INCH,80 MM,size_equivalence,1,
4 INCH,100 MM,size_equivalence,1,
6 INCH,150 MM,size_equivalence,1,
8 INCH,200 MM,size_equivalence,1,
10 INCH,250 MM,size_equivalence,1,
12 INCH,300 MM,size_equivalence,1,
14 INCH,350 MM,size_equivalence,1,
16 INCH,400 MM,size_equivalence,1,
18 INCH,450 MM,size_equivalence,1,
20 INCH,500 MM,size_equivalence,1,
24 INCH,600 MM,size_equivalence,1,
KG,KG,mass,1,
KGS,KG,mass,1,
KILOGRAM,KG,mass,1,
KILOGRAMS,KG,mass,1,
GM,KG,mass,0.001,
GRAM,KG,mass,0.001,
GRAMS,KG,mass,0.001,
MT,MT,mass,1,
MTS,MT,mass,1,metric tonnes
TON,MT,mass,1,
TONS,MT,mass,1,
TONNE,MT,mass,1,
TONNES,MT,mass,1,
LMT,MT,mass,100000,"lakh metric tonnes, seen in NTPC corpus"
LTR,L,volume,1,
LTRS,L,volume,1,
LITRE,L,volume,1,
LITRES,L,volume,1,
LITER,L,volume,1,
LITERS,L,volume,1,
KL,KL,volume,1,
KLS,KL,volume,1,seen in OIL India corpus
CUM,M3,volume,1,
M3,M3,volume,1,
CBM,M3,volume,1,
SQM,M2,area,1,
SQ.M,M2,area,1,
M2,M2,area,1,
SQFT,FT2,area,1,
KW,KW,power,1,
KWS,KW,power,1,
MEGAWATT,KW,power,1000,
MW,MW,power,1,seen in NTPC corpus
HP,KW,power,0.7457,
KV,KV,voltage,1,seen in NTPC corpus
V,V,voltage,1,
AMP,A,current,1,
AMPS,A,current,1,
KVA,KVA,apparent_power,1,
MVA,MVA,apparent_power,1,
BAR,BAR,pressure,1,
BARS,BAR,pressure,1,
KG/CM2,BAR,pressure,0.980665,
KGCM2,BAR,pressure,0.980665,
MPA,BAR,pressure,10,
KPA,BAR,pressure,0.01,
PSI,BAR,pressure,0.0689476,
PSIG,BAR,pressure,0.0689476,
MONTH,MONTH,duration,1,
MONTHS,MONTH,duration,1,
MTH,MONTH,duration,1,
YEAR,YEAR,duration,1,
YEARS,YEAR,duration,1,
YR,YEAR,duration,1,
HOUR,HOUR,duration,1,
HOURS,HOUR,duration,1,
HR,HOUR,duration,1,
HRS,HOUR,duration,1,
DAY,DAY,duration,1,
DAYS,DAY,duration,1,
SHIFT,SHIFT,duration,1,


