segment_code,family_code,class_code,commodity_code,commodity_title,segment_name,family_name,class_name
31160000,31161600,31161601,31161601,Hex bolts,Hardware,Fasteners,Bolts
31160000,31161600,31161602,31161602,Stud bolts,Hardware,Fasteners,Bolts
31160000,31161600,31161603,31161603,Socket head cap screws,Hardware,Fasteners,Bolts
31160000,31161700,31161727,31161727,Hex nuts,Hardware,Fasteners,Nuts
31160000,31161700,31161728,31161728,Heavy hex nuts,Hardware,Fasteners,Nuts
31160000,31161800,31161801,31161801,Flat washers,Hardware,Fasteners,Washers
31160000,31161800,31161807,31161807,Spring lock washers,Hardware,Fasteners,Washers
40140000,40141600,40141607,40141607,Gate valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141608,40141608,Globe valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141609,40141609,Check valves / Non-return valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141611,40141611,Ball valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141612,40141612,Butterfly valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141613,40141613,Plug valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141614,40141614,Needle valves,Fluid and Gas Flow,Valves,Industrial Valves
40140000,40141600,40141617,40141617,Pressure relief and safety valves,Fluid and Gas Flow,Valves,Safety Valves
40140000,40141600,40141620,40141620,Control valves,Fluid and Gas Flow,Valves,Automated Valves
40170000,40171500,40171501,40171501,Carbon steel pipes seamless,Pipe and Tubing,Industrial Pipes,Metallic Pipes
40170000,40171500,40171502,40171502,Carbon steel pipes ERW/welded,Pipe and Tubing,Industrial Pipes,Metallic Pipes
40170000,40171500,40171504,40171504,Stainless steel pipes seamless,Pipe and Tubing,Industrial Pipes,Metallic Pipes
40170000,40171500,40171505,40171505,Alloy steel pipes,Pipe and Tubing,Industrial Pipes,Metallic Pipes
40170000,40171500,40171508,40171508,API 5L Line pipes,Pipe and Tubing,Industrial Pipes,Line Pipes
40170000,40171600,40171601,40171601,Instrument tubing stainless steel,Pipe and Tubing,Tubing,Metallic Tubing
40140000,40141700,40141720,40141720,Weld neck flanges,Pipe Fittings,Flanges,Industrial Flanges
40140000,40141700,40141721,40141721,Slip-on flanges,Pipe Fittings,Flanges,Industrial Flanges
40140000,40141700,40141722,40141722,Blind flanges,Pipe Fittings,Flanges,Industrial Flanges
40140000,40141700,40141723,40141723,Socket weld flanges,Pipe Fittings,Flanges,Industrial Flanges
40140000,40141700,40141724,40141724,Threaded pipe flanges,Pipe Fittings,Flanges,Industrial Flanges
40140000,40142300,40142301,40142301,Pipe elbows 90 deg butt-weld,Pipe Fittings,Butt Weld Fittings,Elbows
