pair_id,canonical_id,material_id_original,material_id_mutated,changed_attribute,original_value,mutated_value,expected_relation,difficulty
CF-PR-0001,CAN-001,MAT-0002,MAT-CF-0001,pressure_class,Class 150,Class 300,VARIANT_OF,HARD
CF-PR-0002,CAN-002,MAT-0006,MAT-CF-0002,pressure_class,Class 150,Class 300,VARIANT_OF,HARD
CF-PR-0003,CAN-002,MAT-0011,MAT-CF-0003,pressure_class,Class 150,Class 300,VARIANT_OF,HARD
CF-PR-0004,CAN-005,MAT-0022,MAT-CF-0004,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0005,CAN-006,MAT-0027,MAT-CF-0005,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0006,CAN-008,MAT-0042,MAT-CF-0006,pressure_class,Class 300,Class 300X,VARIANT_OF,HARD
CF-PR-0007,CAN-008,MAT-0045,MAT-CF-0007,pressure_class,Class 300,Class 300X,VARIANT_OF,HARD
CF-PR-0008,CAN-009,MAT-0046,MAT-CF-0008,pressure_class,Class 300,Class 300X,VARIANT_OF,HARD
CF-PR-0009,CAN-011,MAT-0053,MAT-CF-0009,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0010,CAN-013,MAT-0067,MAT-CF-0010,pressure_class,Class 300,Class 300X,VARIANT_OF,HARD
CF-PR-0011,CAN-014,MAT-0070,MAT-CF-0011,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0012,CAN-015,MAT-0071,MAT-CF-0012,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0013,CAN-015,MAT-0072,MAT-CF-0013,pressure_class,Class 600,Class 600X,VARIANT_OF,HARD
CF-PR-0014,CAN-016,MAT-0079,MAT-CF-0014,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0015,CAN-016,MAT-0081,MAT-CF-0015,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0016,CAN-016,MAT-0084,MAT-CF-0016,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0017,CAN-017,MAT-0087,MAT-CF-0017,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0018,CAN-017,MAT-0089,MAT-CF-0018,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0019,CAN-018,MAT-0093,MAT-CF-0019,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0020,CAN-018,MAT-0094,MAT-CF-0020,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0021,CAN-018,MAT-0097,MAT-CF-0021,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0022,CAN-019,MAT-0102,MAT-CF-0022,nominal_size,DN100,DN150,VARIANT_OF,HARD
CF-PR-0023,CAN-020,MAT-0104,MAT-CF-0023,nominal_size,DN50,DN50X,VARIANT_OF,HARD
CF-PR-0024,CAN-021,MAT-0107,MAT-CF-0024,nominal_size,DN200,DN200X,VARIANT_OF,HARD
CF-PR-0025,CAN-022,MAT-0112,MAT-CF-0025,nominal_size,DN50,DN50X,VARIANT_OF,HARD
