pair_id,material_id_a,cpse_a,material_id_b,cpse_b,relation_type,decision_status,conflict_attributes,conflict_tier,difficulty,source_type
PR-0001,MAT-0001,CPSE_03,MAT-0005,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0002,MAT-0002,CPSE_05,MAT-0004,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0003,MAT-0002,CPSE_05,MAT-0005,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0004,MAT-0006,CPSE_03,MAT-0008,CPSE_01,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0005,MAT-0006,CPSE_03,MAT-0010,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0006,MAT-0007,CPSE_01,MAT-0009,CPSE_02,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0007,MAT-0007,CPSE_01,MAT-0011,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0008,MAT-0008,CPSE_01,MAT-0010,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0009,MAT-0009,CPSE_02,MAT-0010,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0010,MAT-0009,CPSE_02,MAT-0011,CPSE_05,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0011,MAT-0013,CPSE_01,MAT-0014,CPSE_03,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0012,MAT-0014,CPSE_03,MAT-0015,CPSE_03,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
PR-0013,MAT-0016,CPSE_01,MAT-0019,CPSE_04,EQUIVALENT,APPROVED,,none,NORMAL,SYNTHETIC
PR-0014,MAT-0018,CPSE_04,MAT-0019,CPSE_04,IDENTICAL,APPROVED,,none,NORMAL,SYNTHETIC
