material_id,cpse_id,canonical_id,material_code,description_original,base_uom,source_system,source_record_id,source_file,source_row,ingestion_timestamp,processing_version,source_type
MAT-0001,CPSE_03,CAN-001,MAT-74381,BALL VALVE CARBON STEEL DN100 CLASS,No.,SAP_S4HANA,REC-1,synthetic_generator,1,2026-09-18T22:42:29.592282,2.0,SYNTHETIC
MAT-0002,CPSE_05,CAN-001,MAT-85141,BALL VALVE CS DN100 Cl 150,Nos,SAP_S4HANA,REC-2,synthetic_generator,2,2026-09-18T22:42:29.592332,2.0,SYNTHETIC
MAT-CF-0001,CPSE_05,CAN-001_VARIANT,MAT-14282,BALL VALVE CARBON STEEL DN100 CLASS 300,Nos,SAP_ECC,REC-CF-1,synthetic_generator,2,2026-09-18T22:42:29.592368,2.0,SYNTHETIC_MUTATION
MAT-0003,CPSE_02,CAN-001,MAT-80480,BALL VALVE CARBON STEEL DN100 CLASS 150,Nos.,SAP_ECC,REC-3,synthetic_generator,3,2026-09-18T22:42:29.592392,2.0,SYNTHETIC
MAT-0004,CPSE_03,CAN-001,MAT-43285,BALL VALVE C.S. DN100 CL150,EACH,SAP_ECC,REC-4,synthetic_generator,4,2026-09-18T22:42:29.592418,2.0,SYNTHETIC
MAT-0005,CPSE_04,CAN-001,MAT-19467,BALL VALVE C.S. DN100,PCS,SAP_ECC,REC-5,synthetic_generator,5,2026-09-18T22:42:29.592446,2.0,SYNTHETIC
MAT-0006,CPSE_03,CAN-002,MAT-35395,CHECK VALVE CARBON STEEL DN50 CLASS 150,PCS,SAP_ECC,REC-6,synthetic_generator,6,2026-09-18T22:42:29.592674,2.0,SYNTHETIC
MAT-CF-0002,CPSE_03,CAN-002_VARIANT,MAT-75291,CHECK VALVE CARBON STEEL DN50 CLASS 300,PCS,SAP_ECC,REC-CF-2,synthetic_generator,6,2026-09-18T22:42:29.592706,2.0,SYNTHETIC_MUTATION
MAT-0007,CPSE_01,CAN-002,MAT-31691,CHECK VALVE CS DN50 150#,Nos,SAP_ECC,REC-7,synthetic_generator,7,2026-09-18T22:42:29.592734,2.0,SYNTHETIC
MAT-0008,CPSE_01,CAN-002,MAT-98150,CHECK VALVE CS DN50 150#,No,SAP_S4HANA,REC-8,synthetic_generator,8,2026-09-18T22:42:29.592758,2.0,SYNTHETIC
MAT-0009,CPSE_02,CAN-002,MAT-31434,CHECK VALVE C.S. DN50 Cl 150,No.,SAP_ECC,REC-9,synthetic_generator,9,2026-09-18T22:42:29.592779,2.0,SYNTHETIC
MAT-0010,CPSE_04,CAN-002,MAT-45454,CHECK VALVE C.S. DN50 CL150,No.,SAP_ECC,REC-10,synthetic_generator,10,2026-09-18T22:42:29.592801,2.0,SYNTHETIC
MAT-0011,CPSE_05,CAN-002,MAT-86088,CHECK VALVE CARBON STEEL DN50 CLASS,Nos,SAP_S4HANA,REC-11,synthetic_generator,11,2026-09-18T22:42:29.592822,2.0,SYNTHETIC
MAT-CF-0003,CPSE_05,CAN-002_VARIANT,MAT-19943,CHECK VALVE CARBON STEEL DN50 CLASS 300,Nos,SAP_ECC,REC-CF-3,synthetic_generator,11,2026-09-18T22:42:29.592844,2.0,SYNTHETIC_MUTATION
MAT-0012,CPSE_02,CAN-003,MAT-18379,GLOBE VALVE ALLOY STEEL DN150 CLASS,Nos,SAP_S4HANA,REC-12,synthetic_generator,12,2026-09-18T22:42:29.593043,2.0,SYNTHETIC
MAT-0013,CPSE_01,CAN-003,MAT-30723,GLOBE VALVE ALLOY STEEL DN150 CLASS 600,No.,SAP_S4HANA,REC-13,synthetic_generator,13,2026-09-18T22:42:29.593067,2.0,SYNTHETIC
MAT-0014,CPSE_03,CAN-003,MAT-70444,GLOBE VALVE ALLOY STEEL DN150 CLASS 600,No,SAP_ECC,REC-14,synthetic_generator,14,2026-09-18T22:42:29.593088,2.0,SYNTHETIC
MAT-0015,CPSE_03,CAN-003,MAT-13634,GLOBE VALVE ALLOY STEEL DN150 CLASS 600,No,SAP_S4HANA,REC-15,synthetic_generator,15,2026-09-18T22:42:29.593107,2.0,SYNTHETIC
MAT-0016,CPSE_01,CAN-004,MAT-57893,CHECK VALVE ALLOY STEEL DN150 CLASS 600,PCS,SAP_ECC,REC-16,synthetic_generator,16,2026-09-18T22:42:29.593292,2.0,SYNTHETIC
MAT-0017,CPSE_04,CAN-004,MAT-43997,CHECK VALVE ALLOY STEEL DN150 CLASS,No,SAP_ECC,REC-17,synthetic_generator,17,2026-09-18T22:42:29.593319,2.0,SYNTHETIC
MAT-0018,CPSE_04,CAN-004,MAT-45455,CHECK VALVE ALLOY STEEL DN150 CLASS 600,PCS,SAP_S4HANA,REC-18,synthetic_generator,18,2026-09-18T22:42:29.593339,2.0,SYNTHETIC
MAT-0019,CPSE_04,CAN-004,MAT-49998,CHECK VALVE ALLOY STEEL DN150 CLASS,No.,SAP_S4HANA,REC-19,synthetic_generator,19,2026-09-18T22:42:29.593359,2.0,SYNTHETIC
MAT-0020,CPSE_04,CAN-005,MAT-37471,CHECK VALVE STAINLESS STEEL DN100 CLASS 600,EACH,SAP_ECC,REC-20,synthetic_generator,20,2026-09-18T22:42:29.593545,2.0,SYNTHETIC
MAT-0021,CPSE_05,CAN-005,MAT-14154,CHECK VALVE STAINLESS STEEL DN100 CLASS 600,no,SAP_S4HANA,REC-21,synthetic_generator,21,2026-09-18T22:42:29.593572,2.0,SYNTHETIC
MAT-0022,CPSE_01,CAN-005,MAT-11451,CHECK VALVE STAINLESS STEEL DN100 CLASS,PCS,SAP_ECC,REC-22,synthetic_generator,22,2026-09-18T22:42:29.593596,2.0,SYNTHETIC
MAT-CF-0004,CPSE_01,CAN-005_VARIANT,MAT-47001,CHECK VALVE STAINLESS STEEL DN100 CLASS 600X,PCS,SAP_ECC,REC-CF-4,synthetic_generator,22,2026-09-18T22:42:29.593620,2.0,SYNTHETIC_MUTATION
MAT-0023,CPSE_01,CAN-005,MAT-65185,CHECK VALVE STAINLESS STEEL DN100 CLASS,Nos,SAP_ECC,REC-23,synthetic_generator,23,2026-09-18T22:42:29.593643,2.0,SYNTHETIC
MAT-0024,CPSE_02,CAN-005,MAT-39586,CHECK VALVE STAINLESS STEEL DN100 CLASS 600,No,SAP_ECC,REC-24,synthetic_generator,24,2026-09-18T22:42:29.593662,2.0,SYNTHETIC
MAT-0025,CPSE_03,CAN-005,MAT-56026,CHECK VALVE STAINLESS STEEL DN100 CLASS 600,Nos.,SAP_S4HANA,REC-25,synthetic_generator,25,2026-09-18T22:42:29.593680,2.0,SYNTHETIC
MAT-0026,CPSE_05,CAN-006,MAT-33186,BALL VALVE CARBON STEEL DN50 CLASS,no,SAP_ECC,REC-26,synthetic_generator,26,2026-09-18T22:42:29.593881,2.0,SYNTHETIC
MAT-0027,CPSE_05,CAN-006,MAT-25945,BALL VALVE C.S. DN50 CLASS,EACH,SAP_ECC,REC-27,synthetic_generator,27,2026-09-18T22:42:29.593911,2.0,SYNTHETIC
MAT-CF-0005,CPSE_05,CAN-006_VARIANT,MAT-32086,BALL VALVE CARBON STEEL DN50 CLASS 600X,EACH,SAP_ECC,REC-CF-5,synthetic_generator,27,2026-09-18T22:42:29.593936,2.0,SYNTHETIC_MUTATION
MAT-0028,CPSE_05,CAN-006,MAT-66746,BALL VALVE C.S. DN50 CLASS 600,No.,SAP_S4HANA,REC-28,synthetic_generator,28,2026-09-18T22:42:29.593959,2.0,SYNTHETIC
MAT-0029,CPSE_02,CAN-006,MAT-28523,BALL VALVE CARBON STEEL DN50 CLASS 600,Nos,SAP_ECC,REC-29,synthetic_generator,29,2026-09-18T22:42:29.593978,2.0,SYNTHETIC
MAT-0030,CPSE_05,CAN-006,MAT-13286,BALL VALVE CARBON STEEL DN50 CLASS 600,no,SAP_ECC,REC-30,synthetic_generator,30,2026-09-18T22:42:29.593996,2.0,SYNTHETIC
MAT-0031,CPSE_01,CAN-006,MAT-91845,BALL VALVE CARBON STEEL DN50 CLASS 600,No,SAP_S4HANA,REC-31,synthetic_generator,31,2026-09-18T22:42:29.594014,2.0,SYNTHETIC
MAT-0032,CPSE_04,CAN-007,MAT-67218,GATE V/V ALLOY STEEL DN100 CLASS 600,EA,SAP_ECC,REC-32,synthetic_generator,32,2026-09-18T22:42:29.594198,2.0,SYNTHETIC
MAT-0033,CPSE_01,CAN-007,MAT-95238,GATE VALVE ALLOY STEEL DN100 CLASS 600,no,SAP_S4HANA,REC-33,synthetic_generator,33,2026-09-18T22:42:29.594222,2.0,SYNTHETIC
MAT-0034,CPSE_02,CAN-007,MAT-69444,GV ALLOY STEEL DN100 CLASS,Nos,SAP_S4HANA,REC-34,synthetic_generator,34,2026-09-18T22:42:29.594248,2.0,SYNTHETIC
MAT-0035,CPSE_05,CAN-007,MAT-85300,GATE VALVE ALLOY STEEL DN100 CLASS,Nos,SAP_ECC,REC-35,synthetic_generator,35,2026-09-18T22:42:29.594270,2.0,SYNTHETIC
MAT-0036,CPSE_05,CAN-007,MAT-49057,Gate Vlv ALLOY STEEL DN100 CLASS 600,PCS,SAP_S4HANA,REC-36,synthetic_generator,36,2026-09-18T22:42:29.594291,2.0,SYNTHETIC
MAT-0037,CPSE_01,CAN-007,MAT-50418,GATE V/V ALLOY STEEL DN100 CLASS,no,SAP_ECC,REC-37,synthetic_generator,37,2026-09-18T22:42:29.594313,2.0,SYNTHETIC
MAT-0038,CPSE_05,CAN-007,MAT-98517,GATE VALVE ALLOY STEEL DN100 CLASS 600,EACH,SAP_ECC,REC-38,synthetic_generator,38,2026-09-18T22:42:29.594331,2.0,SYNTHETIC
MAT-0039,CPSE_03,CAN-007,MAT-77468,GATE V/V ALLOY STEEL DN100 CLASS 600,PCS,SAP_ECC,REC-39,synthetic_generator,39,2026-09-18T22:42:29.594352,2.0,SYNTHETIC
MAT-0040,CPSE_04,CAN-008,MAT-41442,CHECK VALVE C.S. DN150 CLASS,No.,SAP_S4HANA,REC-40,synthetic_generator,40,2026-09-18T22:42:29.594536,2.0,SYNTHETIC
MAT-0041,CPSE_01,CAN-008,MAT-65675,CHECK VALVE CARBON STEEL DN150 CLASS 300,Nos.,SAP_ECC,REC-41,synthetic_generator,41,2026-09-18T22:42:29.594560,2.0,SYNTHETIC
MAT-0042,CPSE_02,CAN-008,MAT-13103,CHECK VALVE CARBON STEEL DN150 CLASS,no,SAP_ECC,REC-42,synthetic_generator,42,2026-09-18T22:42:29.594580,2.0,SYNTHETIC
MAT-CF-0006,CPSE_02,CAN-008_VARIANT,MAT-20508,CHECK VALVE CARBON STEEL DN150 CLASS 300X,no,SAP_ECC,REC-CF-6,synthetic_generator,42,2026-09-18T22:42:29.594603,2.0,SYNTHETIC_MUTATION
MAT-0043,CPSE_02,CAN-008,MAT-51535,CHECK VALVE C.S. DN150 CLASS 300,Nos,SAP_ECC,REC-43,synthetic_generator,43,2026-09-18T22:42:29.594638,2.0,SYNTHETIC
MAT-0044,CPSE_01,CAN-008,MAT-13927,CHECK VALVE CARBON STEEL DN150 CLASS 300,EA,SAP_ECC,REC-44,synthetic_generator,44,2026-09-18T22:42:29.594659,2.0,SYNTHETIC
MAT-0045,CPSE_03,CAN-008,MAT-55301,CHECK VALVE CARBON STEEL DN150 CLASS,Nos,SAP_S4HANA,REC-45,synthetic_generator,45,2026-09-18T22:42:29.594680,2.0,SYNTHETIC
MAT-CF-0007,CPSE_03,CAN-008_VARIANT,MAT-52196,CHECK VALVE CARBON STEEL DN150 CLASS 300X,Nos,SAP_ECC,REC-CF-7,synthetic_generator,45,2026-09-18T22:42:29.594701,2.0,SYNTHETIC_MUTATION
MAT-0046,CPSE_01,CAN-009,MAT-65598,CHECK VALVE ALLOY STEEL DN50 CLASS 300,EACH,SAP_S4HANA,REC-46,synthetic_generator,46,2026-09-18T22:42:29.594887,2.0,SYNTHETIC
MAT-CF-0008,CPSE_01,CAN-009_VARIANT,MAT-77152,CHECK VALVE ALLOY STEEL DN50 CLASS 300X,EACH,SAP_ECC,REC-CF-8,synthetic_generator,46,2026-09-18T22:42:29.594914,2.0,SYNTHETIC_MUTATION
